epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,438.47,0.6957,1.44511,1.03052,0.57463,0.81216,0.69692,0.56717,0.75684,1.40332,1.19796,0.000368264,0.000368264,0.000368264
2,912.801,0.79441,0.99733,1.12338,0.77705,0.42501,0.47187,0.40552,0.69391,2.0254,1.12631,0.000723974,0.000723974,0.000723974
3,1405.52,0.75561,0.84232,1.08944,0.70916,0.68397,0.73277,0.59529,0.66082,1.17427,1.08773,0.00106502,0.00106502,0.00106502
4,1868.18,0.73098,0.77877,1.0725,0.90104,0.85102,0.93262,0.78838,0.58049,0.68383,1.02662,0.00104501,0.00104501,0.00104501
5,2361.64,0.68597,0.69449,1.04179,0.9679,0.91554,0.95909,0.82828,0.56584,0.58634,1.00868,0.00102301,0.00102301,0.00102301
6,2810.89,0.67131,0.62657,1.03842,0.94471,0.94636,0.95771,0.82691,0.55339,0.48197,0.99392,0.00100101,0.00100101,0.00100101
7,5243.28,0.65688,0.60343,1.01683,0.92203,0.93851,0.96041,0.83252,0.54806,0.50488,0.99877,0.000979013,0.000979013,0.000979013
8,12231.7,0.63646,0.5508,1.00837,0.91946,0.93404,0.95924,0.83293,0.55767,0.50083,1.00012,0.000957015,0.000957015,0.000957015
9,12706.6,0.61708,0.53799,1.00456,0.938,0.9361,0.96601,0.83893,0.53841,0.46127,0.99837,0.000935018,0.000935018,0.000935018
10,13180.1,0.60903,0.52457,0.99189,0.94822,0.95005,0.97469,0.84529,0.52522,0.43003,0.9776,0.00091302,0.00091302,0.00091302
11,13661.7,0.60168,0.5087,0.99507,0.92636,0.92302,0.96649,0.8465,0.52963,0.51431,0.97975,0.000891022,0.000891022,0.000891022
12,14146,0.59472,0.50238,0.98406,0.95985,0.94546,0.96121,0.84201,0.52034,0.43523,0.97448,0.000869024,0.000869024,0.000869024
13,14613.5,0.56948,0.48379,0.97438,0.96458,0.96389,0.98318,0.87062,0.51593,0.38861,0.96705,0.000847026,0.000847026,0.000847026
14,15087.5,0.57406,0.45483,0.97282,0.93378,0.95367,0.96418,0.85234,0.49295,0.41042,0.94828,0.000825029,0.000825029,0.000825029
15,16018.7,0.5745,0.44652,0.96622,0.91886,0.96517,0.97952,0.87194,0.49831,0.41068,0.954,0.000803031,0.000803031,0.000803031
16,16507.6,0.56849,0.44675,0.96868,0.9754,0.97753,0.98715,0.87414,0.49429,0.33387,0.95651,0.000781033,0.000781033,0.000781033
17,16981,0.55064,0.43155,0.96338,0.96952,0.97201,0.98569,0.87752,0.48938,0.32781,0.94919,0.000759035,0.000759035,0.000759035
18,17478.8,0.5397,0.42711,0.95948,0.9429,0.95072,0.97236,0.86918,0.48538,0.38897,0.94219,0.000737037,0.000737037,0.000737037
19,17979.9,0.53697,0.40327,0.95322,0.91083,0.94977,0.97063,0.86797,0.48369,0.46303,0.93416,0.00071504,0.00071504,0.00071504
20,18439.5,0.53231,0.3928,0.95068,0.97531,0.98146,0.98948,0.89027,0.46311,0.29807,0.9328,0.000693042,0.000693042,0.000693042
21,21219.3,0.52643,0.37916,0.94718,0.96427,0.93901,0.97586,0.86828,0.49605,0.37247,0.95038,0.000671044,0.000671044,0.000671044
22,21490.4,0.52154,0.38069,0.95067,0.97352,0.9789,0.98138,0.8838,0.45063,0.30578,0.92258,0.000649046,0.000649046,0.000649046
23,21761.6,0.51292,0.35946,0.94208,0.93285,0.95751,0.96977,0.87251,0.44412,0.38716,0.91757,0.000627048,0.000627048,0.000627048
